taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
masv_62979	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Paraglomeraceae	Paraglomus	Paraglomus_sp
masv_62999	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_63010	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Nanoglomus	Nanoglomus_sp
masv_63015	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63043	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Glomeraceae_spp	Glomeraceae_spp
masv_63116	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_sp
masv_63117	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_63123	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Sclerocystaceae_Kamienskiaceae_spp	Sclerocystaceae_Kamienskiaceae_spp
masv_63135	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Diversisporaceae	Diversispora	Diversispora_sp
masv_6314	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Sclerocystaceae_Kamienskiaceae_spp	Sclerocystaceae_Kamienskiaceae_spp
masv_63153	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_sp
masv_63154	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63158	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63163	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_63165	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikia	Dominikia_sp
masv_63175	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63248	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_633	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63320	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Septoglomeraceae	Septoglomus	Septoglomus_sp
masv_63360	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63415	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_63419	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63440	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomerales_spp	Glomerales_spp	Glomerales_spp
masv_63452	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_63472	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Septoglomeraceae	Septoglomus	Septoglomus_sp
masv_63474	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_63488	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_sp
masv_63504	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Rhizophagus	Rhizophagus_sp
masv_63515	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Diversisporaceae	Diversispora	Diversispora_sp
masv_63523	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_63662	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Paraglomeraceae	Paraglomus	Paraglomus_sp
masv_63783	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Dominikiaceae	Dominikiaceae_spp	Dominikiaceae_spp
masv_63820	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
masv_63933	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Sclerocystaceae_Kamienskiaceae	Sclerocystaceae_Kamienskiaceae_spp	Sclerocystaceae_Kamienskiaceae_spp
masv_63961	LSU	Fungi	Glomeromycota	Clomeromycetes	Glomerales	Entrophosporaceae	Entrophospora	Entrophospora_sp
