id,paper_id,primers,longitude,latitude,continent,sample_type,Biome,marker_size,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,Sample,Spring/Fall,Original_Sample_ID,Original,Sample,ID,sitePlot,Plot_Loc,Plot_Loc_Rep,Country,State,Site,Remnant,LUH,Depth_cm,SiteLat,SiteLong,CoordLat,CoordLong
MAPS_FA18_EKS_N02_S015,Ramos_2024,LROR/FLR2,-95.272367,38.18125,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_51_S51_L001,Fall,EKS_N02_S015,EKS,N02,S015,EKS_N02,EKS_N,2,US,KS,EKS,Yes,N,15,38.181,-95.273,38.18125,-95.272367
MAPS_FA18_EKS_N02_S030,Ramos_2024,LROR/FLR2,-95.272367,38.18125,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_48_S48_L001,Fall,EKS_N02_S030,EKS,N02,S030,EKS_N02,EKS_N,2,US,KS,EKS,Yes,N,30,38.181,-95.273,38.18125,-95.272367
MAPS_FA18_EKS_N02_S075,Ramos_2024,LROR/FLR2,-95.272367,38.18125,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_50_S50_L001,Fall,EKS_N02_S075,EKS,N02,S075,EKS_N02,EKS_N,2,US,KS,EKS,Yes,N,75,38.181,-95.273,38.18125,-95.272367
MAPS_FA18_EKS_N03_S005,Ramos_2024,LROR/FLR2,-95.27235,38.181017,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_42_S42_L001,Fall,EKS_N03_S005,EKS,N03,S005,EKS_N03,EKS_N,3,US,KS,EKS,Yes,N,5,38.181,-95.273,38.181017,-95.27235
MAPS_FA18_EKS_N03_S015,Ramos_2024,LROR/FLR2,-95.27235,38.181017,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_44_S44_L001,Fall,EKS_N03_S015,EKS,N03,S015,EKS_N03,EKS_N,3,US,KS,EKS,Yes,N,15,38.181,-95.273,38.181017,-95.27235
MAPS_FA18_EKS_N03_S030,Ramos_2024,LROR/FLR2,-95.27235,38.181017,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_56_S56_L001,Fall,EKS_N03_S030,EKS,N03,S030,EKS_N03,EKS_N,3,US,KS,EKS,Yes,N,30,38.181,-95.273,38.181017,-95.27235
MAPS_FA18_EKS_N03_S075,Ramos_2024,LROR/FLR2,-95.27235,38.181017,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_38_S38_L001,Fall,EKS_N03_S075,EKS,N03,S075,EKS_N03,EKS_N,3,US,KS,EKS,Yes,N,75,38.181,-95.273,38.181017,-95.27235
MAPS_FA18_EKS_N04_S005,Ramos_2024,LROR/FLR2,-95.2726,38.181,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_45_S45_L001,Fall,EKS_N04_S005,EKS,N04,S005,EKS_N04,EKS_N,4,US,KS,EKS,Yes,N,5,38.181,-95.273,38.181,-95.2726
MAPS_FA18_EKS_N04_S015,Ramos_2024,LROR/FLR2,-95.2726,38.181,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_41_S41_L001,Fall,EKS_N04_S015,EKS,N04,S015,EKS_N04,EKS_N,4,US,KS,EKS,Yes,N,15,38.181,-95.273,38.181,-95.2726
MAPS_FA18_EKS_N04_S030,Ramos_2024,LROR/FLR2,-95.2726,38.181,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_49_S49_L001,Fall,EKS_N04_S030,EKS,N04,S030,EKS_N04,EKS_N,4,US,KS,EKS,Yes,N,30,38.181,-95.273,38.181,-95.2726
MAPS_FA18_EKS_N04_S075,Ramos_2024,LROR/FLR2,-95.2726,38.181,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_46_S46_L001,Fall,EKS_N04_S075,EKS,N04,S075,EKS_N04,EKS_N,4,US,KS,EKS,Yes,N,75,38.181,-95.273,38.181,-95.2726
MAPS_FA18_EKS_P01_S005,Ramos_2024,LROR/FLR2,-95.2742,38.1812,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_24_S24_L001,Fall,EKS_P01_S005,EKS,P01,S005,EKS_P01,EKS_P,1,US,KS,EKS,No,P,5,38.181,-95.273,38.1812,-95.2742
MAPS_FA18_EKS_P01_S015,Ramos_2024,LROR/FLR2,-95.2742,38.1812,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_43_S43_L001,Fall,EKS_P01_S015,EKS,P01,S015,EKS_P01,EKS_P,1,US,KS,EKS,No,P,15,38.181,-95.273,38.1812,-95.2742
MAPS_FA18_EKS_P01_S030,Ramos_2024,LROR/FLR2,-95.2742,38.1812,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_55_S55_L001,Fall,EKS_P01_S030,EKS,P01,S030,EKS_P01,EKS_P,1,US,KS,EKS,No,P,30,38.181,-95.273,38.1812,-95.2742
MAPS_FA18_EKS_P01_S075,Ramos_2024,LROR/FLR2,-95.2742,38.1812,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_17_S17_L001,Fall,EKS_P01_S075,EKS,P01,S075,EKS_P01,EKS_P,1,US,KS,EKS,No,P,75,38.181,-95.273,38.1812,-95.2742
MAPS_FA18_EKS_P01_S120,Ramos_2024,LROR/FLR2,-95.2742,38.1812,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_25_S25_L001,Fall,EKS_P01_S120,EKS,P01,S120,EKS_P01,EKS_P,1,US,KS,EKS,No,P,120,38.181,-95.273,38.1812,-95.2742
MAPS_FA18_EKS_P02_S005,Ramos_2024,LROR/FLR2,-95.274167,38.1814,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_30_S30_L001,Fall,EKS_P02_S005,EKS,P02,S005,EKS_P02,EKS_P,2,US,KS,EKS,No,P,5,38.181,-95.273,38.1814,-95.274167
MAPS_FA18_EKS_P02_S015,Ramos_2024,LROR/FLR2,-95.274167,38.1814,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_32_S32_L001,Fall,EKS_P02_S015,EKS,P02,S015,EKS_P02,EKS_P,2,US,KS,EKS,No,P,15,38.181,-95.273,38.1814,-95.274167
MAPS_FA18_EKS_P02_S030,Ramos_2024,LROR/FLR2,-95.274167,38.1814,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_27_S27_L001,Fall,EKS_P02_S030,EKS,P02,S030,EKS_P02,EKS_P,2,US,KS,EKS,No,P,30,38.181,-95.273,38.1814,-95.274167
MAPS_FA18_EKS_P02_S075,Ramos_2024,LROR/FLR2,-95.274167,38.1814,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_36_S36_L001,Fall,EKS_P02_S075,EKS,P02,S075,EKS_P02,EKS_P,2,US,KS,EKS,No,P,75,38.181,-95.273,38.1814,-95.274167
MAPS_FA18_EKS_P03_S005,Ramos_2024,LROR/FLR2,-95.273917,38.181433,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_37_S37_L001,Fall,EKS_P03_S005,EKS,P03,S005,EKS_P03,EKS_P,3,US,KS,EKS,No,P,5,38.181,-95.273,38.181433,-95.273917
MAPS_FA18_EKS_P03_S015,Ramos_2024,LROR/FLR2,-95.273917,38.181433,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_39_S39_L001,Fall,EKS_P03_S015,EKS,P03,S015,EKS_P03,EKS_P,3,US,KS,EKS,No,P,15,38.181,-95.273,38.181433,-95.273917
MAPS_FA18_EKS_P03_S030,Ramos_2024,LROR/FLR2,-95.273917,38.181433,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_35_S35_L001,Fall,EKS_P03_S030,EKS,P03,S030,EKS_P03,EKS_P,3,US,KS,EKS,No,P,30,38.181,-95.273,38.181433,-95.273917
MAPS_FA18_EKS_P03_S075,Ramos_2024,LROR/FLR2,-95.273917,38.181433,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_54_S54_L001,Fall,EKS_P03_S075,EKS,P03,S075,EKS_P03,EKS_P,3,US,KS,EKS,No,P,75,38.181,-95.273,38.181433,-95.273917
MAPS_FA18_EKS_P03_S120,Ramos_2024,LROR/FLR2,-95.273917,38.181433,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_31_S31_L001,Fall,EKS_P03_S120,EKS,P03,S120,EKS_P03,EKS_P,3,US,KS,EKS,No,P,120,38.181,-95.273,38.181433,-95.273917
MAPS_FA18_EKS_P04_S005,Ramos_2024,LROR/FLR2,-95.273917,38.181233,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_23_S23_L001,Fall,EKS_P04_S005,EKS,P04,S005,EKS_P04,EKS_P,4,US,KS,EKS,No,P,5,38.181,-95.273,38.181233,-95.273917
MAPS_FA18_EKS_P04_S015,Ramos_2024,LROR/FLR2,-95.273917,38.181233,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_34_S34_L001,Fall,EKS_P04_S015,EKS,P04,S015,EKS_P04,EKS_P,4,US,KS,EKS,No,P,15,38.181,-95.273,38.181233,-95.273917
