taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
SH0977244.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977246.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977254.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Nanoglomus	Nanoglomus sp.
SH0977255.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977256.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	unclassified_Glomeromycetes	unclassified_Glomeromycetes	unclassified_Glomeromycetes	Glomeromycetes sp.
SH0977264.09FU	ITS2	Fungi	Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	Glomeromycota sp.
SH0977265.09FU	ITS2	Fungi	Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	Glomeromycota sp.
SH0977271.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977274.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977276.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Nanoglomus	Nanoglomus sp.
SH0977277.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Nanoglomus	Nanoglomus sp.
SH0977281.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0977294.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977297.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977298.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977301.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977305.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977310.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977318.09FU	ITS2	Fungi	Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	Glomeromycota sp.
SH0977329.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977336.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977337.09FU	ITS2	Fungi	Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	Glomeromycota sp.
SH0977339.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977345.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977362.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977373.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Nanoglomus	Nanoglomus sp.
SH0977376.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977377.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977384.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977388.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977397.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977402.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977405.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliglomus	Funneliglomus sanmartinense
SH0977411.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977415.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977416.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977417.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977422.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0977427.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0977428.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
